iter	Passed	Remaining
461	1666	137
462	1669	133
463	1673	129
464	1677	126
465	1680	122
466	1684	119
467	1687	115
468	1691	111
469	1695	108
470	1698	104
471	1702	100
472	1705	97
473	1709	93
474	1713	90
475	1716	86
476	1720	82
477	1723	79
478	1726	75
479	1730	72
480	1733	68
481	1736	64
482	1740	61
483	1743	57
484	1747	54
485	1750	50
486	1754	46
487	1758	43
488	1762	39
489	1765	36
490	1769	32
491	1773	28
492	1777	25
493	1781	21
494	1785	18
495	1789	14
496	1793	10
497	1797	7
498	1801	3
499	1805	0
